animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Fish
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amphibian
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amphibian
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amphibian
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bug
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bug
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bug
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrate
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrate
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrate
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrate
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrate
